date,transactions
2020-10-07T00:00:00Z,175003
2020-10-08T00:00:00Z,170119
2020-10-09T00:00:00Z,164693
2020-10-10T00:00:00Z,162137
2020-10-11T00:00:00Z,154858
2020-10-12T00:00:00Z,169400
2020-10-13T00:00:00Z,161562
2020-10-14T00:00:00Z,149180
2020-10-15T00:00:00Z,144022
2020-10-16T00:00:00Z,133077
2020-10-17T00:00:00Z,138050
2020-10-18T00:00:00Z,138730
2020-10-19T00:00:00Z,173307
2020-10-20T00:00:00Z,156826
2020-10-21T00:00:00Z,155923
2020-10-22T00:00:00Z,143112
2020-10-23T00:00:00Z,145562
2020-10-24T00:00:00Z,132014
2020-10-25T00:00:00Z,135234
2020-10-26T00:00:00Z,152091
2020-10-27T00:00:00Z,148046
2020-10-28T00:00:00Z,176368
2020-10-29T00:00:00Z,181719
2020-10-30T00:00:00Z,166081
2020-10-31T00:00:00Z,157293
2020-11-01T00:00:00Z,155778
2020-11-02T00:00:00Z,152517
2020-11-03T00:00:00Z,143849
2020-11-04T00:00:00Z,133408
2020-11-05T00:00:00Z,138460
2020-11-06T00:00:00Z,132245
2020-11-07T00:00:00Z,129062
2020-11-08T00:00:00Z,119773
2020-11-09T00:00:00Z,134526
2020-11-10T00:00:00Z,144304
2020-11-11T00:00:00Z,116414
2020-11-12T00:00:00Z,118329
2020-11-13T00:00:00Z,138679
2020-11-14T00:00:00Z,124207
2020-11-15T00:00:00Z,142537
2020-11-16T00:00:00Z,144832
2020-11-17T00:00:00Z,152237
2020-11-18T00:00:00Z,130642
2020-11-19T00:00:00Z,145372
2020-11-20T00:00:00Z,145387
2020-11-21T00:00:00Z,158177
2020-11-22T00:00:00Z,157985
2020-11-23T00:00:00Z,152677
2020-11-24T00:00:00Z,140973
2020-11-25T00:00:00Z,138786
2020-11-26T00:00:00Z,125826
2020-11-27T00:00:00Z,122815
2020-11-28T00:00:00Z,118345
2020-11-29T00:00:00Z,124478
2020-11-30T00:00:00Z,128081
2020-12-01T00:00:00Z,123281
2020-12-02T00:00:00Z,143498
2020-12-03T00:00:00Z,161836
2020-12-04T00:00:00Z,159377
2020-12-05T00:00:00Z,152481
2020-12-06T00:00:00Z,188091
2020-12-07T00:00:00Z,188890
2020-12-08T00:00:00Z,186434
2020-12-09T00:00:00Z,188630
2020-12-10T00:00:00Z,180092
2020-12-11T00:00:00Z,177396
2020-12-12T00:00:00Z,152324
2020-12-13T00:00:00Z,151160
2020-12-14T00:00:00Z,156489
2020-12-15T00:00:00Z,158783
2020-12-16T00:00:00Z,143387
2020-12-17T00:00:00Z,132710
2020-12-18T00:00:00Z,141169
2020-12-19T00:00:00Z,160613
2020-12-20T00:00:00Z,173723
2020-12-21T00:00:00Z,185312
2020-12-22T00:00:00Z,173276
2020-12-23T00:00:00Z,144372
2020-12-24T00:00:00Z,135462
